1007E,4089,3400
1010F,4077,3400
1023G,4070,3400
1025G,3534,3200
1039E,4020,3400
1039E,4016,3400
1043G,4262,3500
1043G,4257,3500
1054H,4129,3500
1054H,4124,3500
1055G,3659,3500
1055G,3660,3500
1058A,540,800
1060G,4049,3400
1060G,4045,3400
1064A,670,800
1081H,4208,3500
1081H,4203,3500
1083D,4109,3500
1083D,4104,3500
1086F,3631,3500
1086F,3631,3500
1093A,700,800
1097A,700,800
1098F,4224,3500
1098F,4220,3500
1103E,3593,3400
1110H,4303,3500
1110H,4307,3500
1119G,3317,3100
1119H,3403,3200
1146A,640,800
1147F,4231,3500
1148H,4353,3500
1148H,4357,3500
1154A,680,800
1158F,3662,3500
1158F,3662,3500
1161F,4230,3500
1161F,4226,3500
1168E,3398,3100
1178H,4190,3500
1178H,4185,3500
1179E,3410,3200
1180A,680,800
1190F,3618,3400
1190F,3619,3400
1191A,630,800
1196A,700,800
1205F,3616,3400
1205F,3616,3400
1208H,3748,3500
1208H,3748,3500
1209G2,3413,3200
1210G,3749,3500
1210G,3744,3500
1220G,4188,3400
1220G,4188,3400
1229F,4197,3500
1229F,4192,3500
1237G,3762,3500
1237G,3762,3500
1239F,4069,3400
1239F,4065,3400
1242E,3412,3200
1264F,3714,3500
1264F,3714,3500
1266H,3728,3400
1276E,4134,3500
1276E,4129,3500
1276F,3597,3400
1280F,4124,3400
1280F,4120,3400
1281A,640,800
1283A,470,800
1284G,3509,3300
1285A,620,800
1286E,3468,3200
1286F,3547,3100
1290E,3517,3300
1292E,3686,3500
1292E,3687,3500
1292F,3686,3500
1292F,3687,3500
1305G,3778,3500
1305G,3779,3500
1305H,3650,3500
1305H,3650,3500
1311A,620,800
1312A,700,800
1322F,4201,3500
1322F,4197,3500
1326G,4362,3500
1326G,4357,3500
1329E,3660,3300
1335A,610,800
1336E2,3687,3500
1336E2,3688,3500
1336F,3834,3500
1336F,3834,3500
1338E,3637,3500
1338E,3638,3500
1349E,3765,3500
1349E,3765,3500
1349F2,4301,3500
1349F2,4296,3500
1358A,120,800
1360A,380,800
1360B,340,800
1367A,-55,800
1367B,450,800
1368A,530,800
1368H2,4360,3500
1368H2,4356,3500
1369A,270,800
1370A,340,800
1371A,60,800
1374A,530,800
1375I,4367,3500
1375I,4363,3500
1382A,280,800
1385A,480,800
1385B,80,800
1388A,550,800
1389A,370,800
1391A,90,800
1391B,560,800
1392I,3524,3300
1393A,640,800
1394E,4371,3500
1394E,4367,3500
1397A,300,800
1398A,460,800
1398B,620,800
1399A,180,800
1399B,420,800
1400A,320,800
1405A,500,800
1408A,540,800
1409A,-61,800
1411A,-153,800
1413A,120,800
1415A,-84,800
1417A,130,800
1421A,130,800
1422A,540,800
1426A,20,800
1427F,3438,3200
1427H,4403,3500
1427H,4399,3500
1428A,270,800
1428H,3834,3500
1428H,3835,3500
1430B,540,800
1433A,-175,800
1433B,480,800
1435A,550,800
1436A,400,800
1437A,700,800
1440A,130,800
1443A,670,800
1444E,4222,3500
1444E,4217,3500
1445A,290,800
1446E,3806,3500
1446E,3807,3500
1447A,560,800
1450A,440,800
1451A,560,800
1452A,160,800
1452C,660,800
1453A,-140,800
1454A,-23,800
1454B,690,800
1455A,80,800
1457A,220,800
1458F,4367,3500
1458F,4362,3500
1459A,660,800
1461A,260,800
1462A,-68,800
1464F,4472,3500
1464F,4467,3500
1465A,160,800
1466A,200,800
1466B,660,800
1466I,3647,3400
1466I,3647,3400
1470F,4411,3500
1470F,4406,3500
1472A,500,800
1472B,560,800
1473A,110,800
1474A,550,800
1477F,3907,3500
1477F,3908,3500
1478A,310,800
1479E,3842,3500
1479E,3842,3500
1480A,120,800
1481A,370,800
1482A,140,800
1482H,3706,3400
1483F,3583,3400
1484A,-166,800
1487A,160,800
1490A,420,800
1491A,550,800
1491I,4426,3500
1491I,4421,3500
1493A,610,800
1498A,450,800
1499A,50,800
1500F,3815,3500
1500F,3815,3500
1503F,3911,3500
1503F,3912,3500
1506A,350,800
1508F,3899,3500
1508F,3899,3500
1509A,140,800
1511A,40,800
1512A,-92,800
1512B,650,800
1513A,460,800
1514A,560,800
1515A,680,800
1515H,3758,3500
1515H,3759,3500
1515I,3607,3400
1515I,3607,3400
1516A,690,800
1517A,420,800
1517H,4448,3500
1517H,4444,3500
1519A,530,800
1519B,620,800
1520A,210,800
1523H,4479,3500
1523H,4474,3500
1525A,180,800
1527A,570,800
1529A,240,800
1530A,220,800
1535A,-241,800
1537A,280,800
1538A,510,800
1538B,540,800
1540E,4487,3500
1540E,4482,3500
1541A,300,800
1542A,-52,800
1544A,-123,800
1544B,450,800
1544H,3623,3400
1544H,3623,3400
1545E1,4502,3500
1545E2,4502,3500
1545F,4502,3500
1545F,4497,3500
1546A,620,800
1547A,370,800
1547B,680,800
1549A,290,800
1549F2,3610,3300
1550A,160,800
1550E1,4497,3500
1550E2,4497,3500
1551A,-69,800
1551B1,520,800
1552A,90,800
1553A,100,800
1554A,510,800
1556A,160,800
1557A,510,800
1560A,-101,800
1560B,490,800
1562A,360,800
1563F,3499,3300
1566A,320,800
1566B,620,800
1566H,3827,3200
1567A,-141,800
1569A,140,800
1574A,260,800
1579A,-191,800
1580E,3787,3400
1580E,3787,3400
1580F,3787,3300
1580F,3787,3300
1581A,390,800
1582A,560,800
1583A,390,800
1583H,3664,3300
1583H,3660,3300
1584A,230,800
1585A,-104,800
1586A,550,800
1586I,3731,3500
1586I,3731,3500
1588F,4251,3500
1588F,4247,3500
1589A,390,800
1591A,230,800
1592A,680,800
1593A,330,800
1594A,310,800
1598A,110,800
1601F,3787,3400
1601F,3788,3400
1602A,180,800
1603E,3489,3200
1603F,3729,2700
1604A,480,800
1605A,530,800
1607A,-69,800
1608A,-103,800
1608F,3417,3200
1608G,4215,3500
1608G,4210,3500
1609H,3923,3500
1609H,3924,3500
1610H,3508,3100
1611A,110,800
1611B,620,800
1612A,130,800
1614A,120,800
1615A,250,800
1616A,550,800
1616G,3618,3500
1616G,3619,3500
1618A,-72,800
1618B,640,800
1619A,20,800
1619B,620,800
1620A,620,800
1621A,180,800
1621H,3772,3500
1621H,3773,3500
1621I,4545,3500
1621I,4540,3500
1622A,70,800
1623A,520,800
1624A,-166,800
1625A,510,800
1627A,280,800
1628F,4543,3500
1628F,4539,3500
1629A,60,800
1629B,670,800
1631A,100,800
1632A,210,800
1633A,420,800
1633B,580,800
1634A,550,800
1635A,480,800
1637A,450,800
1637H,3626,3500
1637H,3627,3500
1638A,670,800
